row_num_1,Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,Invalid Columns
2966,2021-10-20 22:41:20,216.224.63.172,96.35.139.160,53380,57274,TCP,1463,Data,DNS,Repudiandae eius at occaecati. Distinctio aspernatur ex corrupti quidem similique. Ipsam ut accusamus repellendus nostrum. Hic similique fugit occaecati.,IoC Detected,17.01,Alert Triggered,Malware,Known Pattern A,Ignored,High,Bhamini Karpe,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; ur-PK) AppleWebKit/531.5.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6531.5.2",Segment C,"Mehsana, Madhya Pradesh",,,Alert Data,Server,Source IP Address (RBL)
2971,2020-01-21 13:52:04,222.128.55.73,196.165.132.121,17161,48753,ICMP,643,Data,FTP,Beatae sapiente ex. Nulla aliquid voluptate facilis quisquam nulla perspiciatis. Error cum ex cupiditate assumenda ipsa veritatis. Nobis animi et aliquid ipsam maiores veniam.,IoC Detected,67.48,,Malware,Known Pattern A,Ignored,High,Tejas Bhavsar,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/3.1),Segment B,"Ambarnath, Karnataka",,,Alert Data,Server,Device Information (Suspect Bot)
2976,2020-10-11 15:18:11,3.204.138.208,32.240.175.150,38839,7085,UDP,1205,Control,DNS,Quae illum ex ullam debitis. Maiores beatae impedit omnis commodi. Cum asperiores commodi aliquam explicabo quasi molestias similique. Reprehenderit esse corporis dicta quia consequuntur repellendus.,IoC Detected,82.99,,Intrusion,Known Pattern B,Logged,Low,Rania Bawa,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/4.0),Segment B,"Muzaffarnagar, Mizoram",,,Alert Data,Firewall,Destination IP Address (RBL)
2983,2021-03-25 08:57:07,13.26.158.166,23.110.94.148,42990,65343,TCP,269,Control,DNS,Exercitationem alias quod nemo minus pariatur. Molestiae veritatis similique voluptatum accusamus eveniet aperiam. Enim odio nulla assumenda ab libero.,,87.82,,Intrusion,Known Pattern B,Logged,Low,Suhana Hari,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/50.0.881.0 Mobile/90X007 Safari/536.1",Segment C,"Ranchi, Goa",192.124.120.68,Log Data,Alert Data,Firewall,Destination IP Address (RBL)
2997,2023-06-19 01:36:53,53.116.160.22,31.105.91.50,12652,62463,UDP,1187,Control,FTP,Perferendis iste vel dignissimos officiis. Expedita in iste nulla. Nobis distinctio assumenda. Fugit omnis aperiam suscipit. Ipsum repellendus quibusdam dignissimos vel dolorum.,,8.81,Alert Triggered,Intrusion,Known Pattern B,Blocked,Low,Rati Hans,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/4.0),Segment A,"Eluru, Tamil Nadu",,,,Firewall,Device Information (Suspect Bot)
3004,2020-07-10 08:27:31,38.76.73.51,222.197.0.45,52998,21714,ICMP,1493,Data,HTTP,Quis iste incidunt consequatur. Soluta quo quo. Reprehenderit iste eum accusamus aut. Sunt quos qui blanditiis molestiae provident corrupti. Dicta rerum assumenda quas sint.,IoC Detected,22.25,Alert Triggered,Malware,Known Pattern B,Logged,High,Kabir Wagle,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/3.0),Segment B,"Bhilai, Sikkim",206.181.11.151,Log Data,Alert Data,Firewall,Device Information (Suspect Bot)
3006,2023-09-08 22:25:55,115.206.38.210,44.235.24.200,44751,4985,ICMP,758,Data,DNS,Fugiat quae itaque eum. Modi numquam eum repudiandae. Ad voluptatem quo repellendus. Facere a quasi.,,48.54,,Malware,Known Pattern B,Blocked,Low,Veer Talwar,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/4.0),Segment B,"Haridwar, Maharashtra",172.25.107.11,,Alert Data,Firewall,Device Information (Suspect Bot)
3009,2021-01-14 06:47:40,193.120.149.44,182.32.51.37,52641,10698,TCP,1469,Data,FTP,Aliquam recusandae soluta. Nobis ducimus totam deserunt optio iste. Vero debitis natus qui similique. Accusamus odit dolores deleniti ducimus.,,38.55,,Intrusion,Known Pattern B,Blocked,Medium,Ayesha Shroff,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/24.0.851.0 Mobile/87Z239 Safari/533.2",Segment A,"Nellore, Tamil Nadu",,Log Data,Alert Data,Server,Destination IP Address (RBL)
3017,2020-02-03 02:40:30,175.40.110.140,128.173.10.136,57492,49705,ICMP,1077,Data,DNS,Perspiciatis ullam fugiat veniam error dicta. Quas nihil illo error laudantium. Ex dicta minima maxime nesciunt. Corrupti beatae beatae. Eligendi aliquam ab ex at.,,93.01,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Zain Wali,Opera/9.48.(Windows NT 6.0; tt-RU) Presto/2.9.171 Version/11.00,Segment C,"Amritsar, Sikkim",,Log Data,Alert Data,Server,Destination IP Address (RBL)
3019,2021-10-06 16:09:11,36.7.87.160,30.192.51.225,40595,22312,TCP,459,Data,FTP,Consequatur in iste. Doloribus natus placeat et expedita iure amet. Libero dignissimos voluptates.,IoC Detected,11.59,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Aaryahi Chada,Opera/9.57.(X11; Linux x86_64; pap-AN) Presto/2.9.190 Version/12.00,Segment C,"South Dumdum, Meghalaya",,Log Data,Alert Data,Server,Destination IP Address (RBL)
3031,2023-07-29 01:09:38,71.93.245.114,147.2.190.158,43269,41385,UDP,725,Data,FTP,Impedit quis quaerat fuga aliquid. Reprehenderit maxime suscipit deserunt amet. Consequuntur ab nobis repellat perspiciatis libero fugiat iste. Quidem consequatur rem optio soluta.,,37.99,,DDoS,Known Pattern B,Blocked,Low,Zeeshan Mandal,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/3.1),Segment C,"Thrissur, Maharashtra",,Log Data,,Server,Device Information (Suspect Bot)
3038,2021-11-01 15:02:52,87.34.231.142,150.141.21.23,44377,3424,TCP,1378,Data,FTP,Debitis vel suscipit odit sed numquam. Saepe ad quas ab natus iusto consequuntur.,IoC Detected,59.37,,Intrusion,Known Pattern A,Ignored,Medium,Rasha Mane,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_4; rv:1.9.2.20) Gecko/6011-05-04 22:40:59 Firefox/3.8,Segment B,"Yamunanagar, Sikkim",97.237.225.13,,,Server,Source IP Address (RBL)
3040,2020-01-17 17:41:51,1.69.139.97,183.66.243.79,42605,16099,TCP,653,Control,FTP,Doloremque fugit placeat non. Voluptates rerum cum molestias debitis alias. In voluptate eius sunt nisi corporis.,IoC Detected,22.94,,Intrusion,Known Pattern A,Ignored,Medium,Kartik Sen,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_4; rv:1.9.4.20) Gecko/6693-08-08 18:43:56 Firefox/12.0,Segment A,"Mira-Bhayandar, Maharashtra",131.215.254.195,,,Firewall,Destination IP Address (RBL)
3058,2023-08-14 00:08:13,13.208.49.197,217.254.205.41,15975,46498,ICMP,303,Control,FTP,Ad aliquam incidunt. Iure hic quis illum voluptatum. Est nisi quae voluptate.,IoC Detected,2.45,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Divij Virk,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/5.0),Segment A,"Ambarnath, Maharashtra",81.59.128.71,,,Firewall,Destination IP Address (RBL)
3060,2023-02-20 01:44:13,109.207.78.26,54.30.145.232,3043,51935,ICMP,1260,Control,HTTP,Eligendi illo odit explicabo ipsam magnam. Dignissimos explicabo nulla architecto. Molestiae totam fuga maiores. Vitae dolores architecto aspernatur. Eaque consectetur consectetur autem.,,38.48,Alert Triggered,DDoS,Known Pattern A,Ignored,Low,Kismat Date,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/3.1),Segment B,"Parbhani, Mizoram",,Log Data,Alert Data,Server,Device Information (Suspect Bot)
3074,2021-11-28 20:17:54,29.44.173.30,26.45.226.192,30916,24891,ICMP,66,Data,HTTP,Voluptatum nulla voluptas tempore quam modi repellat. Ducimus quibusdam perferendis iste esse reiciendis iure. Tenetur tempora libero distinctio ut. Ea fuga nobis similique officiis qui eaque.,IoC Detected,97.82,,Malware,Known Pattern A,Blocked,High,Kartik Singh,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/4.1),Segment A,"Malegaon, Maharashtra",,,,Firewall,Source IP Address (RBL)
3076,2020-08-16 19:33:46,41.225.44.54,5.59.28.219,55734,13636,TCP,144,Data,HTTP,Ab dolorem expedita iure qui. Dolorum perferendis sed deleniti quos nam. Expedita pariatur et aliquid itaque repellendus cum libero. Officia quibusdam provident est quas.,,23.3,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Yasmin Balasubramanian,Opera/9.14.(Windows NT 4.0; be-BY) Presto/2.9.182 Version/10.00,Segment B,"Solapur, Goa",,Log Data,Alert Data,Firewall,Source IP Address (RBL)
3101,2021-07-30 20:55:37,90.95.136.201,212.47.35.40,36201,18989,ICMP,110,Data,FTP,Vero voluptatem voluptate ut illum. Debitis ea vero eligendi sit.,,10.56,Alert Triggered,Intrusion,Known Pattern A,Logged,High,Tarini Karpe,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.1),Segment B,"Guna, Madhya Pradesh",195.207.149.238,,,Firewall,Device Information (Suspect Bot)
3109,2023-03-06 08:16:00,146.86.37.75,87.154.89.187,61711,64927,ICMP,210,Control,DNS,Repellendus illum illum alias. Voluptate tempore laborum delectus aut rem tempore. Architecto neque placeat molestiae sint sint sapiente debitis.,,0.93,,DDoS,Known Pattern A,Logged,Medium,Ira Sahni,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/3.1),Segment A,"Madanapalle, Nagaland",,Log Data,,Firewall,Device Information (Suspect Bot)
3113,2023-09-03 17:52:18,161.135.250.209,112.92.240.83,6647,36738,UDP,246,Data,DNS,Doloremque itaque consequuntur asperiores quibusdam. Doloribus odio sunt quasi nesciunt iste. Fugit assumenda iste vitae. Alias possimus itaque iusto mollitia ullam vero.,,42.62,,DDoS,Known Pattern A,Ignored,High,Anaya Grover,"Mozilla/5.0 (Linux; Android 1.6) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/33.0.873.0 Safari/536.2",Segment B,"Sambalpur, Mizoram",,Log Data,,Server,Source IP Address (RBL)
3153,2022-03-22 21:17:08,23.199.116.182,148.220.120.165,41666,17880,TCP,1475,Control,FTP,Neque voluptatem fugiat laborum in aut. Quae quod quis delectus architecto. Rem alias voluptas aperiam. Sequi vero distinctio deserunt.,IoC Detected,36.33,,DDoS,Known Pattern A,Ignored,High,Mahika Bora,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/4.0),Segment C,"Anand, Uttar Pradesh",157.220.242.212,Log Data,,Firewall,Device Information (Suspect Bot)
3178,2022-12-01 11:15:13,67.3.50.122,145.174.210.207,22807,11098,UDP,1244,Control,HTTP,Illo officia velit laboriosam amet laudantium. Enim tempore ad accusamus tenetur aspernatur illum. A sequi quidem tenetur. Ipsa aperiam quas sit.,,68.05,,DDoS,Known Pattern B,Ignored,High,Yashvi Sibal,Mozilla/5.0 (Windows NT 5.01; sl-SI; rv:1.9.2.20) Gecko/4296-01-31 14:44:44 Firefox/6.0,Segment A,"Noida, Tamil Nadu",,Log Data,Alert Data,Firewall,Destination IP Address (RBL)
3181,2022-06-12 03:16:04,3.220.217.178,163.131.150.198,43516,13869,TCP,796,Control,HTTP,Illum quia aliquam ipsa natus atque et. Numquam unde illo expedita quos. Reiciendis quidem quam quidem exercitationem voluptates. Culpa commodi exercitationem.,IoC Detected,40.92,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Saksham Tak,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/36.0.844.0 Safari/536.1",Segment C,"Hapur, Bihar",,Log Data,Alert Data,Server,Destination IP Address (RBL)
3195,2021-04-26 22:55:04,57.100.237.198,63.53.40.224,5301,28612,TCP,673,Data,HTTP,Sed voluptas perspiciatis ipsam minima alias iusto. Pariatur maiores alias. Sequi quaerat id mollitia modi blanditiis. Ut ipsam facere in corporis culpa quia.,,24.87,,DDoS,Known Pattern B,Blocked,Low,Madhav Kumer,Opera/9.56.(X11; Linux i686; zh-SG) Presto/2.9.190 Version/10.00,Segment B,"Gaya, Telangana",212.237.222.161,Log Data,Alert Data,Server,Source IP Address (RBL)
3208,2023-03-23 02:41:34,186.22.110.150,107.215.77.227,48498,37329,ICMP,1439,Control,FTP,Ut vitae aut dolorum. Quia deleniti blanditiis. Doloribus aspernatur facere ad neque ab velit suscipit.,,73.53,Alert Triggered,Malware,Known Pattern B,Logged,Low,Zeeshan Sodhi,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_4 rv:2.0; sa-IN) AppleWebKit/535.16.5 (KHTML, like Gecko) Version/5.0.1 Safari/535.16.5",Segment B,"Tiruvottiyur, Gujarat",201.208.181.136,Log Data,Alert Data,Server,Destination IP Address (RBL)
3219,2022-10-10 23:06:27,1.56.136.126,113.128.3.9,51565,6934,ICMP,367,Data,FTP,Repellat laudantium similique quae earum similique. Architecto blanditiis repellat nisi beatae libero labore. Adipisci aliquid ullam doloribus laboriosam sequi.,IoC Detected,81.05,,DDoS,Known Pattern B,Blocked,Medium,Hansh Chaudhary,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/4.1),Segment C,"Yamunanagar, Sikkim",86.48.160.106,,,Server,Device Information (Suspect Bot)
3225,2022-04-14 04:16:35,161.21.135.124,208.122.107.182,30000,25591,TCP,85,Control,DNS,Tenetur maiores provident assumenda minima repudiandae. Illum quam voluptas recusandae nesciunt tempore. Sed itaque impedit eum ipsum non culpa.,IoC Detected,39.99,,DDoS,Known Pattern A,Logged,Medium,Krish Bakshi,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/3.1),Segment A,"Tumkur, Karnataka",,Log Data,,Server,Device Information (Suspect Bot)
3232,2022-11-28 06:08:08,14.126.243.50,71.255.121.255,59285,24463,UDP,113,Data,FTP,Reiciendis a tempora fuga voluptatibus dicta. Fuga officiis laboriosam officia occaecati.,,85.01,Alert Triggered,Intrusion,Known Pattern B,Blocked,High,Taimur Ravi,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) CriOS/43.0.881.0 Mobile/36D501 Safari/535.2",Segment B,"Noida, Nagaland",56.99.22.148,Log Data,Alert Data,Firewall,Source IP Address (RBL)
3236,2022-08-16 17:12:29,97.180.223.252,39.70.167.88,30254,65443,ICMP,1303,Control,DNS,Officia amet dignissimos ipsam voluptate. Consequatur sapiente atque incidunt perferendis aspernatur. Alias adipisci exercitationem non alias.,IoC Detected,51.96,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Dishani Buch,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.38.5 (KHTML, like Gecko) Version/5.1 Safari/533.38.5",Segment B,"Mahbubnagar, Haryana",,Log Data,Alert Data,Server,Destination IP Address (RBL)
3238,2023-06-03 02:55:47,169.160.44.185,4.186.161.52,34585,47356,TCP,525,Data,FTP,Praesentium quod autem beatae libero tenetur molestias. Non perferendis quaerat iste velit voluptas. Impedit soluta mollitia ex fugiat itaque. Atque nam quod hic porro quidem impedit facilis.,,41.68,,Malware,Known Pattern A,Blocked,High,Divij Raj,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.34.4 (KHTML, like Gecko) Version/4.0.1 Safari/534.34.4",Segment B,"Madhyamgram, Assam",40.139.111.36,Log Data,Alert Data,Server,Source IP Address (RBL)
3245,2021-03-31 16:04:51,191.236.143.9,16.61.167.238,31471,48451,ICMP,105,Control,HTTP,Sunt totam officiis omnis minima accusantium recusandae. Odit distinctio nemo impedit laboriosam. Quae expedita quos alias temporibus in. Quasi natus deserunt soluta officiis vitae eos.,,17.69,,DDoS,Known Pattern B,Blocked,High,Romil Sodhi,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2982-11-29 20:09:18 Firefox/10.0,Segment B,"Jalandhar, Karnataka",60.37.207.75,Log Data,,Firewall,Destination IP Address (RBL)
3258,2021-08-17 19:31:28,142.197.52.208,143.200.143.87,35810,10681,TCP,1053,Control,HTTP,Sit error mollitia explicabo nesciunt veniam culpa quibusdam. Voluptate deserunt corrupti quis rem commodi nulla. Necessitatibus fugiat excepturi officia.,,25.77,Alert Triggered,Malware,Known Pattern B,Blocked,Low,Azad Chaudhuri,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.26.3 (KHTML, like Gecko) Version/5.0.2 Safari/533.26.3",Segment C,"Ambarnath, Uttarakhand",77.215.15.158,,Alert Data,Firewall,Source IP Address (RBL)
3272,2021-10-31 01:32:10,55.76.167.185,151.224.89.236,34612,63116,ICMP,182,Control,DNS,Dolore commodi nemo maiores. Accusamus ipsa vel voluptas eligendi accusamus soluta laborum. Nam incidunt modi odio. Ea ullam quae similique.,IoC Detected,21.98,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Urvi Bala,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6 rv:5.0; mni-IN) AppleWebKit/532.41.7 (KHTML, like Gecko) Version/5.0 Safari/532.41.7",Segment A,"Tiruppur, Tamil Nadu",,Log Data,Alert Data,Server,Source IP Address (RBL)
3274,2022-02-27 22:42:07,161.0.81.89,120.145.8.103,57616,42259,ICMP,1173,Control,FTP,Voluptates aliquam veritatis unde. Cupiditate voluptates laborum aut. Vero nesciunt esse delectus iste id consequuntur.,IoC Detected,90.67,,Malware,Known Pattern A,Blocked,High,Shalv Gulati,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/5.1),Segment A,"Ambarnath, Tamil Nadu",208.135.94.234,Log Data,Alert Data,Server,Device Information (Suspect Bot)
3281,2020-03-24 03:31:02,63.221.76.38,29.20.220.125,27608,44092,UDP,853,Control,FTP,Qui perferendis tempore tempore soluta. Quos aliquid est asperiores. Illum impedit adipisci ipsum similique deserunt. Consequuntur sunt repellendus architecto fuga porro. Labore dicta et minus.,IoC Detected,99.54,,Intrusion,Known Pattern B,Ignored,Low,Jhanvi Sankar,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/4.0),Segment A,"Rajahmundry, Bihar",115.111.208.158,,Alert Data,Server,Device Information (Suspect Bot)
3283,2022-04-25 13:48:46,197.55.71.72,49.233.187.14,5855,4424,TCP,1352,Control,DNS,Repellendus possimus praesentium ratione ut commodi blanditiis. Aliquam porro commodi at quas. In natus quibusdam debitis possimus magni harum. Asperiores ipsa facere.,,39.29,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Ishita Jani,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/9.3d9999.0 Mobile/02W038 Safari/531.1",Segment B,"Baranagar, Goa",159.45.129.147,,,Firewall,Source IP Address (RBL)
3295,2022-08-28 09:49:36,189.65.226.40,220.18.132.107,48645,36354,UDP,858,Control,FTP,Adipisci officiis distinctio harum tenetur recusandae autem provident. Atque pariatur neque nesciunt laudantium ab voluptates ratione.,,3.4,,Intrusion,Known Pattern A,Logged,Medium,Jayan Butala,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/5.1),Segment C,"Kirari Suleman Nagar, Telangana",,,,Server,Device Information (Suspect Bot)
3310,2021-11-12 03:53:44,72.73.202.127,3.96.213.140,15283,52851,UDP,225,Data,HTTP,Ab voluptas officiis nam. Aliquid numquam voluptatibus suscipit voluptatem temporibus nam ex.,,82.64,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Abram Sengupta,Mozilla/5.0 (Windows NT 5.01; li-NL; rv:1.9.1.20) Gecko/8160-07-23 05:02:15 Firefox/7.0,Segment A,"Karaikudi, Punjab",93.26.161.4,,Alert Data,Server,Source IP Address (RBL)
3322,2021-04-28 18:30:23,211.42.201.144,220.134.152.42,20836,10798,UDP,612,Data,DNS,Tempore similique atque distinctio labore suscipit tempora. Quidem alias cumque voluptas iusto.,IoC Detected,8.35,Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,Ehsaan Korpal,Opera/9.35.(Windows CE; kk-KZ) Presto/2.9.167 Version/10.00,Segment B,"Erode, Rajasthan",,Log Data,,Firewall,Source IP Address (RBL)
3336,2022-06-23 23:42:27,193.94.166.44,102.63.43.227,23623,39378,TCP,1224,Control,HTTP,Enim ex impedit maiores corporis voluptatibus. Aperiam deleniti enim in fuga possimus vitae.,,7.23,,Malware,Known Pattern B,Blocked,Low,Drishya Gade,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/3.1),Segment B,"Amroha, Uttarakhand",,,Alert Data,Firewall,Destination IP Address (RBL)
3344,2020-08-04 08:05:43,95.94.101.207,39.130.83.210,51887,29473,ICMP,1038,Control,HTTP,Rerum debitis sunt sed delectus. Odio cupiditate sit illo totam fuga nostrum harum. Possimus labore rem provident corrupti magnam molestias.,,60.98,Alert Triggered,Malware,Known Pattern B,Ignored,Medium,Anahi Sarkar,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/532.21.7 (KHTML, like Gecko) Version/5.0.1 Safari/532.21.7",Segment B,"Faridabad, Chhattisgarh",82.53.129.14,,,Server,Destination IP Address (RBL)
3349,2022-06-14 06:44:09,197.74.152.212,125.108.142.99,7032,28780,TCP,1224,Control,FTP,Eligendi veniam voluptas possimus velit. Quae dignissimos fugiat ratione eligendi sed. Omnis tempore quo odio non. Deleniti quo ratione nulla.,,55.9,Alert Triggered,Intrusion,Known Pattern A,Logged,Low,Jiya Sengupta,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/52.0.893.0 Safari/534.2",Segment C,"Amaravati, Tamil Nadu",,,,Server,Destination IP Address (RBL)
3353,2022-06-02 04:23:38,94.245.48.231,80.22.191.162,32002,17881,TCP,274,Control,DNS,Amet voluptatibus earum ex dolorem. Perspiciatis facere quod dignissimos. Eligendi consequuntur nesciunt magnam voluptatibus. Minima tempora iste perspiciatis distinctio repellendus.,IoC Detected,18.44,,Malware,Known Pattern B,Blocked,Low,Shray Deep,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/5.1),Segment A,"Korba, Tripura",187.108.79.9,,,Server,Destination IP Address (RBL)
3361,2021-05-23 09:47:10,182.200.141.23,90.223.247.178,33318,43228,TCP,274,Data,DNS,Ullam esse officiis sequi et. Distinctio voluptatum odio at mollitia.,IoC Detected,44.19,,Intrusion,Known Pattern B,Logged,Medium,Tarini Goda,Opera/9.47.(X11; Linux x86_64; pl-PL) Presto/2.9.164 Version/10.00,Segment B,"Bhusawal, Andhra Pradesh",8.221.67.191,,Alert Data,Firewall,Source IP Address (RBL)
3375,2020-11-20 05:56:48,92.3.248.51,133.157.97.245,50662,50463,TCP,1364,Data,HTTP,Consectetur eos voluptatem mollitia molestiae quis ipsa. Voluptatem expedita quos cupiditate. Consectetur possimus modi. Repellendus exercitationem consectetur error.,IoC Detected,27.09,,Intrusion,Known Pattern A,Ignored,Low,Mehul Bhagat,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/23.0.829.0 Mobile/72Y138 Safari/535.0",Segment B,"Bhavnagar, Uttarakhand",17.160.163.177,,Alert Data,Server,Source IP Address (RBL)
3387,2021-12-15 17:07:47,169.193.186.78,181.172.90.160,45438,45283,TCP,1390,Control,FTP,Nemo iusto reprehenderit. Doloribus dicta ex. Amet provident hic doloribus. Quis qui cumque aliquam reiciendis.,,47.51,Alert Triggered,Malware,Known Pattern B,Logged,High,Parinaaz Bose,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.1),Segment B,"Pallavaram, Maharashtra",,Log Data,Alert Data,Server,Device Information (Suspect Bot)
3392,2020-02-05 10:48:20,101.83.165.7,52.8.222.223,41090,65145,UDP,1314,Data,DNS,Hic est tenetur provident. Officiis aperiam eos dolorum. Similique quis provident voluptatibus. Nam placeat recusandae. Reiciendis deleniti asperiores. Facere laudantium debitis quo beatae at.,,22.6,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Samar Ganesh,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; mai-IN) AppleWebKit/535.12.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6535.12.5",Segment B,"Rohtak, Bihar",29.122.28.99,,,Server,Source IP Address (RBL)
3416,2021-06-01 05:57:26,174.252.249.160,140.65.17.74,49188,35044,ICMP,464,Control,HTTP,Commodi aperiam eaque nobis. Quos temporibus rem vel ipsam. Nemo similique necessitatibus tempore ut ad. Aspernatur necessitatibus eos quisquam. Architecto quas a temporibus expedita.,,8.37,,Intrusion,Known Pattern B,Logged,Medium,Rasha Varma,"Mozilla/5.0 (Linux; Android 5.1) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/53.0.848.0 Safari/534.1",Segment B,"Silchar, Jharkhand",,Log Data,,Server,Source IP Address (RBL)
3423,2021-08-03 19:49:43,156.254.211.71,5.21.206.89,3846,21894,TCP,1104,Data,FTP,Veritatis pariatur maiores explicabo eligendi repellendus praesentium. Itaque nihil incidunt quia tenetur possimus autem eligendi. Distinctio maiores laudantium sint.,,40.57,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Keya Sarin,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.1),Segment C,"Berhampur, Kerala",,Log Data,Alert Data,Server,Source IP Address (RBL)
3437,2020-09-13 18:33:24,222.194.250.145,143.139.61.126,16159,52754,UDP,383,Data,FTP,Perferendis sequi consequatur qui adipisci recusandae eum provident. Explicabo culpa explicabo. Commodi totam beatae.,,47.73,,Intrusion,Known Pattern B,Logged,Medium,Onkar Karpe,Opera/9.23.(X11; Linux i686; mk-MK) Presto/2.9.190 Version/10.00,Segment C,"Anand, Sikkim",,Log Data,,Server,Destination IP Address (RBL)
3443,2022-01-24 04:50:03,138.185.224.253,178.73.142.162,60497,38190,ICMP,332,Control,HTTP,Fuga consequuntur laudantium quo inventore dolor sit. Ipsa pariatur nemo quas saepe sunt perspiciatis. Quas atque ullam maiores eaque.,IoC Detected,83.38,Alert Triggered,Malware,Known Pattern A,Blocked,Low,Gokul Mann,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/4.1),Segment A,"Proddatur, Himachal Pradesh",,Log Data,Alert Data,Firewall,Device Information (Suspect Bot)
3445,2022-09-21 03:42:43,93.228.103.24,130.198.121.143,49592,9503,ICMP,771,Data,DNS,Voluptate repudiandae molestias deleniti ab error nulla iure. Distinctio voluptates dolor. Voluptate quod iste assumenda molestias cupiditate dolore repudiandae.,,35.84,Alert Triggered,Malware,Known Pattern A,Blocked,Medium,Taimur Devi,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/4.1),Segment C,"Kumbakonam, Bihar",147.72.125.237,,Alert Data,Server,Device Information (Suspect Bot)
